id,id_order,product_quantity,sku,unit_price,date,total_price
1119116,299545,1,OWC0100,47.49,2017-01-01,47.49
1119119,299546,1,IOT0014,18.99,2017-01-01,18.99
1119120,295347,1,APP0700,72.19,2017-01-01,72.19
1119126,299549,1,PAC0929,2565.99,2017-01-01,2565.99
1119134,299556,1,CRU0039-A,60.9,2017-01-01,60.9
1119145,299561,1,PEB0015,142.49,2017-01-01,142.49
1119154,299563,1,BEA0065,256.49,2017-01-01,256.49
1119155,299564,1,SAT0010,18.99,2017-01-01,18.99
1119181,299571,1,SYN0139,166.24,2017-01-01,166.24
1119188,299578,1,LOG0191,142.49,2017-01-01,142.49
1119189,299579,1,LGE0031-A,127.08,2017-01-01,127.08
1119202,299586,1,GRT0456,42.99,2017-01-01,42.99
1119215,299597,1,PEB0015,142.49,2017-01-01,142.49
1119244,299600,1,APP0410,33.25,2017-01-01,33.25
1119245,299600,1,LAC0205,246.99,2017-01-01,246.99
1119247,299600,1,DLK0078,28.41,2017-01-01,28.41
1119253,299608,1,ICA0079,66.49,2017-01-01,66.49
1119254,299609,1,PAR0071,474.05,2017-01-01,474.05
1119255,299610,1,APP0023,55.99,2017-01-01,55.99
1119256,299600,1,PAC0492,4260.99,2017-01-01,4260.99
1119257,299610,1,APP1214,84.99,2017-01-01,84.99
1119262,299600,2,BEL0229,18.99,2017-01-01,37.98
1119287,299623,1,OBL0007,37.05,2017-01-01,37.05
1119295,299189,1,TUC0276,24.99,2017-01-01,24.99
1119296,298391,1,PAC1594,2769.99,2017-01-01,2769.99
1119299,298391,1,APP0662,149.99,2017-01-01,149.99
1119306,299634,1,SYN0146,369.54,2017-01-01,369.54
1119314,299637,1,TOS0007,53.19,2017-01-01,53.19
1119316,299638,1,SYN0127,223.24,2017-01-01,223.24
1119318,299638,1,WDT0183,151.99,2017-01-01,151.99
1119325,299571,1,WDT0183,151.99,2017-01-01,151.99
1119326,299634,3,WDT0183,151.99,2017-01-01,455.97
1119328,297809,1,IFX0016,14.24,2017-01-01,14.24
1119347,299648,1,PAC1381,355.29,2017-01-01,355.29
1119360,299650,1,NOK0007,65.99,2017-01-01,65.99
1119363,299655,1,WAC0191,161.49,2017-01-01,161.49
1119367,299655,1,WAC0040,35.14,2017-01-01,35.14
1119371,299659,1,THU0013,75.99,2017-01-01,75.99
1119388,299667,1,WIT0024,94.99,2017-01-01,94.99
1119404,299673,1,PAC0569,168.14,2017-01-01,168.14
1119405,299664,1,APP0958,1351.99,2017-01-01,1351.99
1119407,299674,1,PAC1296,584.24,2017-01-01,584.24
1119419,299681,1,SPE0161,35.14,2017-01-01,35.14
1119422,299681,1,APP0701,69.34,2017-01-01,69.34
1119448,299696,1,KEN0212,18.04,2017-01-01,18.04
1119451,293308,1,HGD0007,66.49,2017-01-01,66.49
1119470,299704,1,APP0697,12.99,2017-01-01,12.99
1119477,299706,1,EVU0007,28.49,2017-01-01,28.49
1119490,299710,1,PHI0072,66.49,2017-01-01,66.49
1119491,299710,1,PHI0079,56.04,2017-01-01,56.04
1119494,299712,1,APP0608,279.99,2017-01-01,279.99
1119506,299719,1,OTT0139,21.84,2017-01-01,21.84
1119510,299719,1,GRT0361,18.04,2017-01-01,18.04
1119513,299723,2,MAC0122,23.74,2017-01-01,47.48
1119529,299696,3,SAN0112,18.99,2017-01-01,56.97
1119539,299736,1,WAC0191,161.49,2017-01-01,161.49
